id,name,key,description,namespace,permission_set,value,status,error,mode
305,F01201,cargo-options-1-card,,shared,write_and_sf_access,"<!-- Product feature card container -->
<div class=""product-feature-card"">
  <!-- Text content -->
  <div class=""feature-content"">
    <h2>Double child seat</h2>

    <h3>£187.00</h3>

    <p>
      The double child seat with adjustable sitting and sleeping position holds
      two children age seven or younger. Five-point belts ensure maximum safety.
      Our child seats with continuous headrest are made of 100% recycled
      material. The headrest can be folded down into the box if required.
      Alternatively, you can transport larger loads by folding up the seat part
      of the double child seat. Please observe national regulations for the
      transport of children on bikes before using.
    </p>
  </div>

  <!-- Image -->
  <div class=""se-component se-image-container __se__float- __se__float-none"">
    <figure>
      <img
        src=""https://cdn11.bigcommerce.com/s-c8jhcan2jv/images/stencil/original/image-manager/70-18-detail.jpg.695x464-q80-upscale.jpg?t=1713439539""
        alt=""Packster2 70 Double child seat""
        data-proportion=""true""
        data-align=""none""
        data-index=""0""
        data-file-name=""70-18-detail.jpg.695x464-q80-upscale.jpg?t=1713439539""
        data-file-size=""0""
        data-origin="",""
        data-size="",""
        data-rotate=""""
        data-rotatex=""""
        data-rotatey=""""
        style=""""
        width=""""
        height=""""
        data-percentage=""auto,auto""
      />
    </figure>
  </div>
</div>
",completed,,create_update
305,F01201,cargo-options-1-card,,shared,write_and_sf_access,"<!-- Product feature card container -->
<div class=""product-feature-card"">
  <!-- Text content -->
  <div class=""feature-content"">
    <h2>Double child seat</h2>

    <h3>£187.00</h3>

    <p>
      The double child seat with adjustable sitting and sleeping position holds
      two children age seven or younger. Five-point belts ensure maximum safety.
      Our child seats with continuous headrest are made of 100% recycled
      material. The headrest can be folded down into the box if required.
      Alternatively, you can transport larger loads by folding up the seat part
      of the double child seat. Please observe national regulations for the
      transport of children on bikes before using.
    </p>
  </div>

  <!-- Image -->
  <div class=""se-component se-image-container __se__float- __se__float-none"">
    <figure>
      <img
        src=""https://cdn11.bigcommerce.com/s-c8jhcan2jv/images/stencil/original/image-manager/70-18-detail.jpg.695x464-q80-upscale.jpg?t=1713439539""
        alt=""Packster2 70 Double child seat""
        data-proportion=""true""
        data-align=""none""
        data-index=""0""
        data-file-name=""70-18-detail.jpg.695x464-q80-upscale.jpg?t=1713439539""
        data-file-size=""0""
        data-origin="",""
        data-size="",""
        data-rotate=""""
        data-rotatex=""""
        data-rotatey=""""
        style=""""
        width=""""
        height=""""
        data-percentage=""auto,auto""
      />
    </figure>
  </div>
</div>
",completed,,create_update
305,F01201,cargo-options-1-card,,shared,write_and_sf_access,"<!-- Product feature card container -->
<div class=""product-feature-card"">
  <!-- Text content -->
  <div class=""feature-content"">
    <h2>Double child seat</h2>

    <h3>£187.00</h3>

    <p>
      The double child seat with adjustable sitting and sleeping position holds
      two children age seven or younger. Five-point belts ensure maximum safety.
      Our child seats with continuous headrest are made of 100% recycled
      material. The headrest can be folded down into the box if required.
      Alternatively, you can transport larger loads by folding up the seat part
      of the double child seat. Please observe national regulations for the
      transport of children on bikes before using.
    </p>
  </div>

  <!-- Image -->
  <div class=""se-component se-image-container __se__float- __se__float-none"">
    <figure>
      <img
        src=""https://cdn11.bigcommerce.com/s-c8jhcan2jv/images/stencil/original/image-manager/70-18-detail.jpg.695x464-q80-upscale.jpg?t=1713439539""
        alt=""Packster2 70 Double child seat""
        data-proportion=""true""
        data-align=""none""
        data-index=""0""
        data-file-name=""70-18-detail.jpg.695x464-q80-upscale.jpg?t=1713439539""
        data-file-size=""0""
        data-origin="",""
        data-size="",""
        data-rotate=""""
        data-rotatex=""""
        data-rotatey=""""
        style=""""
        width=""""
        height=""""
        data-percentage=""auto,auto""
      />
    </figure>
  </div>
</div>
",completed,,create_update
305,F01201,cargo-options-1-card,,shared,write_and_sf_access,"<!-- Product feature card container -->
<div class=""product-feature-card"">
  <!-- Text content -->
  <div class=""feature-content"">
    <h2>Double child seat</h2>

    <h3>£187.00</h3>

    <p>
      The double child seat with adjustable sitting and sleeping position holds
      two children age seven or younger. Five-point belts ensure maximum safety.
      Our child seats with continuous headrest are made of 100% recycled
      material. The headrest can be folded down into the box if required.
      Alternatively, you can transport larger loads by folding up the seat part
      of the double child seat. Please observe national regulations for the
      transport of children on bikes before using.
    </p>
  </div>

  <!-- Image -->
  <div class=""se-component se-image-container __se__float- __se__float-none"">
    <figure>
      <img
        src=""https://cdn11.bigcommerce.com/s-c8jhcan2jv/images/stencil/original/image-manager/70-18-detail.jpg.695x464-q80-upscale.jpg?t=1713439539""
        alt=""Packster2 70 Double child seat""
        data-proportion=""true""
        data-align=""none""
        data-index=""0""
        data-file-name=""70-18-detail.jpg.695x464-q80-upscale.jpg?t=1713439539""
        data-file-size=""0""
        data-origin="",""
        data-size="",""
        data-rotate=""""
        data-rotatex=""""
        data-rotatey=""""
        style=""""
        width=""""
        height=""""
        data-percentage=""auto,auto""
      />
    </figure>
  </div>
</div>
",completed,,create_update
305,F01201,cargo-options-1-card,,shared,write_and_sf_access,"<!-- Product feature card container -->
<div class=""product-feature-card"">
  <!-- Text content -->
  <div class=""feature-content"">
    <h2>Double child seat</h2>

    <h3>£187.00</h3>

    <p>
      The double child seat with adjustable sitting and sleeping position holds
      two children age seven or younger. Five-point belts ensure maximum safety.
      Our child seats with continuous headrest are made of 100% recycled
      material. The headrest can be folded down into the box if required.
      Alternatively, you can transport larger loads by folding up the seat part
      of the double child seat. Please observe national regulations for the
      transport of children on bikes before using.
    </p>
  </div>

  <!-- Image -->
  <div class=""se-component se-image-container __se__float- __se__float-none"">
    <figure>
      <img
        src=""https://cdn11.bigcommerce.com/s-c8jhcan2jv/images/stencil/original/image-manager/70-18-detail.jpg.695x464-q80-upscale.jpg?t=1713439539""
        alt=""Packster2 70 Double child seat""
        data-proportion=""true""
        data-align=""none""
        data-index=""0""
        data-file-name=""70-18-detail.jpg.695x464-q80-upscale.jpg?t=1713439539""
        data-file-size=""0""
        data-origin="",""
        data-size="",""
        data-rotate=""""
        data-rotatex=""""
        data-rotatey=""""
        style=""""
        width=""""
        height=""""
        data-percentage=""auto,auto""
      />
    </figure>
  </div>
</div>
",completed,,create_update
305,F01201,cargo-options-1-card,,shared,write_and_sf_access,"<!-- Product feature card container -->
<div class=""product-feature-card"">
  <!-- Text content -->
  <div class=""feature-content"">
    <h2>Double child seat</h2>

    <h3>£187.00</h3>

    <p>
      The double child seat with adjustable sitting and sleeping position holds
      two children age seven or younger. Five-point belts ensure maximum safety.
      Our child seats with continuous headrest are made of 100% recycled
      material. The headrest can be folded down into the box if required.
      Alternatively, you can transport larger loads by folding up the seat part
      of the double child seat. Please observe national regulations for the
      transport of children on bikes before using.
    </p>
  </div>

  <!-- Image -->
  <div class=""se-component se-image-container __se__float- __se__float-none"">
    <figure>
      <img
        src=""https://cdn11.bigcommerce.com/s-c8jhcan2jv/images/stencil/original/image-manager/70-18-detail.jpg.695x464-q80-upscale.jpg?t=1713439539""
        alt=""Packster2 70 Double child seat""
        data-proportion=""true""
        data-align=""none""
        data-index=""0""
        data-file-name=""70-18-detail.jpg.695x464-q80-upscale.jpg?t=1713439539""
        data-file-size=""0""
        data-origin="",""
        data-size="",""
        data-rotate=""""
        data-rotatex=""""
        data-rotatey=""""
        style=""""
        width=""""
        height=""""
        data-percentage=""auto,auto""
      />
    </figure>
  </div>
</div>
",completed,,create_update
305,F01201,cargo-options-1-card,,shared,write_and_sf_access,"<!-- Product feature card container -->
<div class=""product-feature-card"">
  <!-- Text content -->
  <div class=""feature-content"">
    <h2>Double child seat</h2>

    <h3>£187.00</h3>

    <p>
      The double child seat with adjustable sitting and sleeping position holds
      two children age seven or younger. Five-point belts ensure maximum safety.
      Our child seats with continuous headrest are made of 100% recycled
      material. The headrest can be folded down into the box if required.
      Alternatively, you can transport larger loads by folding up the seat part
      of the double child seat. Please observe national regulations for the
      transport of children on bikes before using.
    </p>
  </div>

  <!-- Image -->
  <div class=""se-component se-image-container __se__float- __se__float-none"">
    <figure>
      <img
        src=""https://cdn11.bigcommerce.com/s-c8jhcan2jv/images/stencil/original/image-manager/70-18-detail.jpg.695x464-q80-upscale.jpg?t=1713439539""
        alt=""Packster2 70 Double child seat""
        data-proportion=""true""
        data-align=""none""
        data-index=""0""
        data-file-name=""70-18-detail.jpg.695x464-q80-upscale.jpg?t=1713439539""
        data-file-size=""0""
        data-origin="",""
        data-size="",""
        data-rotate=""""
        data-rotatex=""""
        data-rotatey=""""
        style=""""
        width=""""
        height=""""
        data-percentage=""auto,auto""
      />
    </figure>
  </div>
</div>
",completed,,create_update
305,F01201,cargo-options-1-card,,shared,write_and_sf_access,"<!-- Product feature card container -->
<div class=""product-feature-card"">
  <!-- Text content -->
  <div class=""feature-content"">
    <h2>Double child seat</h2>

    <h3>£187.00</h3>

    <p>
      The double child seat with adjustable sitting and sleeping position holds
      two children age seven or younger. Five-point belts ensure maximum safety.
      Our child seats with continuous headrest are made of 100% recycled
      material. The headrest can be folded down into the box if required.
      Alternatively, you can transport larger loads by folding up the seat part
      of the double child seat. Please observe national regulations for the
      transport of children on bikes before using.
    </p>
  </div>

  <!-- Image -->
  <div class=""se-component se-image-container __se__float- __se__float-none"">
    <figure>
      <img
        src=""https://cdn11.bigcommerce.com/s-c8jhcan2jv/images/stencil/original/image-manager/70-18-detail.jpg.695x464-q80-upscale.jpg?t=1713439539""
        alt=""Packster2 70 Double child seat""
        data-proportion=""true""
        data-align=""none""
        data-index=""0""
        data-file-name=""70-18-detail.jpg.695x464-q80-upscale.jpg?t=1713439539""
        data-file-size=""0""
        data-origin="",""
        data-size="",""
        data-rotate=""""
        data-rotatex=""""
        data-rotatey=""""
        style=""""
        width=""""
        height=""""
        data-percentage=""auto,auto""
      />
    </figure>
  </div>
</div>
",completed,,create_update
305,F01201,cargo-options-1-card,,shared,write_and_sf_access,"<!-- Product feature card container -->
<div class=""product-feature-card"">
  <!-- Text content -->
  <div class=""feature-content"">
    <h2>Double child seat</h2>

    <h3>£187.00</h3>

    <p>
      The double child seat with adjustable sitting and sleeping position holds
      two children age seven or younger. Five-point belts ensure maximum safety.
      Our child seats with continuous headrest are made of 100% recycled
      material. The headrest can be folded down into the box if required.
      Alternatively, you can transport larger loads by folding up the seat part
      of the double child seat. Please observe national regulations for the
      transport of children on bikes before using.
    </p>
  </div>

  <!-- Image -->
  <div class=""se-component se-image-container __se__float- __se__float-none"">
    <figure>
      <img
        src=""https://cdn11.bigcommerce.com/s-c8jhcan2jv/images/stencil/original/image-manager/70-18-detail.jpg.695x464-q80-upscale.jpg?t=1713439539""
        alt=""Packster2 70 Double child seat""
        data-proportion=""true""
        data-align=""none""
        data-index=""0""
        data-file-name=""70-18-detail.jpg.695x464-q80-upscale.jpg?t=1713439539""
        data-file-size=""0""
        data-origin="",""
        data-size="",""
        data-rotate=""""
        data-rotatex=""""
        data-rotatey=""""
        style=""""
        width=""""
        height=""""
        data-percentage=""auto,auto""
      />
    </figure>
  </div>
</div>
",completed,,create_update
305,F01201,cargo-options-1-card,,shared,write_and_sf_access,"<!-- Product feature card container -->
<div class=""product-feature-card"">
  <!-- Text content -->
  <div class=""feature-content"">
    <h2>Double child seat</h2>

    <h3>£187.00</h3>

    <p>
      The double child seat with adjustable sitting and sleeping position holds
      two children age seven or younger. Five-point belts ensure maximum safety.
      Our child seats with continuous headrest are made of 100% recycled
      material. The headrest can be folded down into the box if required.
      Alternatively, you can transport larger loads by folding up the seat part
      of the double child seat. Please observe national regulations for the
      transport of children on bikes before using.
    </p>
  </div>

  <!-- Image -->
  <div class=""se-component se-image-container __se__float- __se__float-none"">
    <figure>
      <img
        src=""https://cdn11.bigcommerce.com/s-c8jhcan2jv/images/stencil/original/image-manager/70-18-detail.jpg.695x464-q80-upscale.jpg?t=1713439539""
        alt=""Packster2 70 Double child seat""
        data-proportion=""true""
        data-align=""none""
        data-index=""0""
        data-file-name=""70-18-detail.jpg.695x464-q80-upscale.jpg?t=1713439539""
        data-file-size=""0""
        data-origin="",""
        data-size="",""
        data-rotate=""""
        data-rotatex=""""
        data-rotatey=""""
        style=""""
        width=""""
        height=""""
        data-percentage=""auto,auto""
      />
    </figure>
  </div>
</div>
",completed,,create_update
